account_id,risk_rating,typology_ground_truth,model_score,graph_score,text_score,fused_risk_score,flagged_by_access_anomaly,has_incident_timeline,rationale,recommended_action
80DA7F7B0,Low,account_takeover,0.9997912,1,1.0,99.9968195304173,True,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label; anomalous login behaviour flagged by the access-anomaly model,ESCALATE to MLRO + hold outbound transfers
809A6DE50,Low,account_takeover,0.9997224,1,1.0,99.9933798429852,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
8112EC7B0,Medium,account_takeover,0.9996792,1,1.0,99.9912188608463,True,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label; anomalous login behaviour flagged by the access-anomaly model,ESCALATE to MLRO + hold outbound transfers
80A0FC6D0,Low,account_takeover,0.9995757,1,1.0,99.98604144570804,True,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label; anomalous login behaviour flagged by the access-anomaly model,ESCALATE to MLRO + hold outbound transfers
807C5A060,Low,account_takeover,0.9993863,1,1.0,99.9765718729422,True,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label; anomalous login behaviour flagged by the access-anomaly model,ESCALATE to MLRO + hold outbound transfers
80EC9D810,Low,account_takeover,0.9993685,1,1.0,99.97568065410144,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
801E6B710,Medium,mule_laundering,0.9924068,1,1.0,99.6275449411944,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
800296920,Low,mule_laundering,0.9865801,1,1.0,99.33616705158204,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
80CDD3650,Medium,mule_laundering,0.9794261,1,1.0,98.97841571332316,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
80E6A81F0,High,mule_laundering,0.97665435,1,1.0,98.8398088286025,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
80FBBF780,Medium,mule_laundering,0.9662221,1,1.0,98.31812091429022,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
804EE2580,Medium,mule_laundering,0.94128484,1,1.0,97.07107624490688,False,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
