account_id,risk_rating,fused_risk_score,has_incident_timeline,rationale,recommended_action
8099A29B1,Low,99.9999760541683,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
801ACA900,Low,99.99994624688908,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
805045DE0,Low,99.99652735196281,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
80E3B20A0,Low,99.99453026425522,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
8032112B0,Low,99.99316807159498,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
800D9F0D0,Low,99.97729867613943,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
80F9461E0,Low,99.94717842048986,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
812D44980,Medium,99.9201640833348,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
801E6B710,Medium,99.68305313861323,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
800296920,Low,99.36356977777334,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
812988BF0,Low,98.96947581632345,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
80617B250,Low,97.81483720272031,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
800D7F3B0,Low,97.35767699990143,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
80C233630,Low,96.29680314453365,True,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,ESCALATE to MLRO + hold outbound transfers
80B635080,Medium,96.23223461629212,False,elevated transaction-model laundering/takeover score; member of a graph-detected candidate laundering cluster; linked AML case note with a fraud/laundering typology label,Investigate + enhanced monitoring
