date,total_transactions,flagged_transactions,total_amount
2022-09-01,23231,325,657889328.6398101
2022-09-02,5831,410,125285821.409676
2022-09-03,2278,398,42116381.109132
2022-09-04,2368,410,45933998.901208
2022-09-05,4695,480,89485325.960994
2022-09-06,4786,538,90662176.672515
2022-09-07,4743,505,88459611.02806
2022-09-08,4793,550,91170355.986563
2022-09-09,5442,522,110974725.493221
2022-09-10,2446,450,47807781.693614
2022-09-11,399,235,13258488.761757001
2022-09-12,288,177,8912916.500348
2022-09-13,189,111,8684101.161876
2022-09-14,128,77,3302886.2644100003
2022-09-15,52,34,1618401.405764
2022-09-16,55,35,1699186.080058
2022-09-17,29,21,494431.85
2022-09-18,12,9,98735.55
