account_id,community_id,degree_centrality,betweenness_centrality,typology_ground_truth,graph_flagged_cluster
800056160,0,0.00012931257435473025,6.520234136051755e-05,mule_laundering,1
80010BFC0,0,0.00012931257435473025,2.412172938488728e-05,mule_laundering,1
80018E990,1,0.0001034500594837842,0.0001480904051390461,mule_laundering,1
8002C7A50,1,0.0001034500594837842,0.0002667771327654395,mule_laundering,1
100428660,2,0.0189830859152744,0.05681741842213083,mule_laundering,1
800825340,3,7.758754461283815e-05,2.1941421941421942e-05,mule_laundering,1
8027CF570,2,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
802A66370,4,7.758754461283815e-05,0.00035332025317293526,mule_laundering,1
802AE1C90,2,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
8032F7300,2,7.758754461283815e-05,3.8363722574248894e-05,mule_laundering,1
802C385D0,5,5.17250297418921e-05,0.0,legit,0
8035C0BF0,5,0.0001034500594837842,0.0,legit,0
80363C8F0,6,7.758754461283815e-05,0.0002497895621340595,mule_laundering,1
803D55770,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
804201F30,2,7.758754461283815e-05,1.5345489029699558e-05,legit,1
804201180,2,7.758754461283815e-05,3.0690978059399115e-05,legit,1
80C250BD0,2,0.0001034500594837842,5.370921160394845e-05,mule_laundering,1
804AF6ED0,7,0.00012931257435473025,0.0002602353549721971,legit,1
801009860,7,0.0001034500594837842,3.0690978059399115e-05,mule_laundering,1
802851E00,8,5.17250297418921e-05,0.0,legit,0
804D7E440,8,7.758754461283815e-05,0.0,legit,0
805199A70,2,7.758754461283815e-05,7.672744514849779e-06,mule_laundering,1
8053807B0,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
803AC17C0,9,0.00012931257435473025,8.6210612526402e-08,mule_laundering,0
805A8A550,9,0.0001034500594837842,1.379369800422432e-07,legit,0
805B716C0,2,0.0001034500594837842,3.8363722574248894e-05,mule_laundering,1
804E24760,2,5.17250297418921e-05,7.660609465321379e-06,legit,1
80663BEB0,2,0.0001034500594837842,3.8363722574248894e-05,legit,1
8011E0970,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
806A3C0D0,2,7.758754461283815e-05,2.3018233544549336e-05,mule_laundering,1
807193CC0,10,0.00012931257435473025,6.9054700633648e-05,mule_laundering,0
8071FC0E0,2,0.00012931257435473025,3.8363722574248894e-05,mule_laundering,1
80721FA60,11,0.0001034500594837842,0.0013474655958866492,mule_laundering,1
80762F540,2,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
8081AD0F0,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
809326EF0,12,0.00018103760409662236,0.0006005886576110662,mule_laundering,1
8001090A0,104,0.0001551750892256763,0.0005124876072244494,mule_laundering,1
80967AB90,104,7.758754461283815e-05,1.5321218930642757e-05,legit,1
804ED1AE0,2,7.758754461283815e-05,0.00021430234061813015,legit,1
8098AFD50,2,7.758754461283815e-05,0.00022957886115780856,legit,1
80A00E360,2,0.0001034500594837842,2.3018233544549336e-05,legit,1
80ACA35A0,2,7.758754461283815e-05,1.5345489029699558e-05,legit,1
807AF9390,2,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
80B39E7B0,2,5.17250297418921e-05,0.00020664683822578563,mule_laundering,1
80B599740,2,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
80B5DE9B0,2,7.758754461283815e-05,1.5345489029699558e-05,legit,1
80BCEC310,14,7.758754461283815e-05,0.00011509116772274667,legit,1
80C0A72A0,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
80C0D1E90,2,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
80C308910,15,5.17250297418921e-05,0.0,legit,0
80C308EC0,15,7.758754461283815e-05,0.0,legit,0
80C311B10,2,0.0001034500594837842,2.3018233544549336e-05,mule_laundering,1
80C7BF450,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
80CD42D30,2,0.00018103760409662236,6.138195611879823e-05,account_takeover,1
807DD0350,16,0.0001034500594837842,0.0,legit,1
80CD7C590,16,7.758754461283815e-05,0.0,mule_laundering,1
80D1B5090,42,0.0001034500594837842,4.603646708909867e-05,legit,1
80016D280,42,0.00012931257435473025,7.672744514849779e-05,mule_laundering,1
80D317850,2,7.758754461283815e-05,3.0690978059399115e-05,mule_laundering,1
80D7DBD40,18,7.758754461283815e-05,0.00042053536790378896,mule_laundering,1
80DA5F0D0,19,7.758754461283815e-05,4.603646708909867e-05,mule_laundering,1
80DA5F1C0,19,7.758754461283815e-05,3.0690978059399115e-05,legit,1
80DC756E0,2,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
80DDF03C0,2,0.0001551750892256763,4.603646708909867e-05,account_takeover,1
80408AC50,20,0.0001034500594837842,0.0,mule_laundering,0
80D0E7480,20,5.17250297418921e-05,0.0,legit,0
8028D6DF0,21,0.0001551750892256763,0.0008476227423595845,mule_laundering,1
80E12F8E0,21,0.0001034500594837842,0.0008696236906763223,legit,1
80E480620,2,0.0001034500594837842,2.3018233544549336e-05,mule_laundering,1
80E6BBF00,0,0.00012931257435473025,2.3018233544549336e-05,mule_laundering,1
80EC43400,22,5.17250297418921e-05,0.0,legit,0
80EC55490,22,5.17250297418921e-05,0.0,legit,0
8104B9560,2,0.0001034500594837842,2.3018233544549336e-05,legit,1
8116A64B0,2,0.00012931257435473025,3.8363722574248894e-05,mule_laundering,1
8121FA240,2,7.758754461283815e-05,1.5345489029699558e-05,legit,1
8122F2590,23,7.758754461283815e-05,0.0,legit,1
80FF51600,23,0.0001034500594837842,8.6210612526402e-08,mule_laundering,1
8128136B0,2,0.00012931257435473025,3.0690978059399115e-05,account_takeover,1
812EE86F0,24,0.00012931257435473025,0.0,mule_laundering,0
812EE89C0,24,5.17250297418921e-05,0.0,mule_laundering,0
80A22AFC0,25,0.0001034500594837842,0.0,mule_laundering,0
813188F60,25,5.17250297418921e-05,0.0,legit,0
813454380,2,0.0001034500594837842,3.8363722574248894e-05,mule_laundering,1
813AE13E0,2,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
813EFA650,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
8140702D0,2,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
814534760,2,5.17250297418921e-05,7.672744514849779e-06,legit,1
8145D8910,2,7.758754461283815e-05,1.5345489029699558e-05,legit,1
8146F26A0,26,0.0001034500594837842,0.0,mule_laundering,0
8146F2390,26,5.17250297418921e-05,0.0,legit,0
807D1FE20,27,5.17250297418921e-05,0.0,legit,0
8147F8200,27,7.758754461283815e-05,0.0,legit,0
800062E20,104,0.0001034500594837842,0.0005806405017128348,mule_laundering,1
8000FFF70,104,0.00012931257435473025,0.0006118551086972142,mule_laundering,1
1004286A8,28,0.012879532405731132,0.035959417883147125,mule_laundering,1
800103610,1,0.0001551750892256763,0.0003176174571403215,mule_laundering,1
8000F1AF0,31,0.0001034500594837842,0.0001150835997677208,mule_laundering,1
8001B2240,31,0.0002069001189675684,0.00011098261591084559,mule_laundering,1
8000FE790,104,0.0001034500594837842,0.00012802504851073835,mule_laundering,1
8001B7A10,104,0.00018103760409662236,6.112657333252292e-05,mule_laundering,1
800238040,104,0.0001034500594837842,0.0002813223348844572,legit,1
800242CC0,33,0.00012931257435473025,3.9689813469717746e-05,mule_laundering,1
800690280,104,0.00012931257435473025,0.00012552066502778168,mule_laundering,1
800068180,33,0.00018103760409662236,0.00026938375982974496,mule_laundering,1
80069EE60,33,7.758754461283815e-05,1.8638945911673188e-05,mule_laundering,1
800926A30,28,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
800AE4B10,28,7.758754461283815e-05,3.8363722574248894e-05,mule_laundering,1
80026E2C0,35,0.00012931257435473025,0.00011509116772274667,mule_laundering,1
80178FFF0,35,0.0001034500594837842,6.9054700633648e-05,mule_laundering,1
8018DA2B0,36,5.17250297418921e-05,7.672744514849779e-06,legit,1
8053168D0,36,0.0004913877825479749,0.00435419936625105,mule_laundering,1
801D2E530,37,0.0001034500594837842,0.0003385373132916196,mule_laundering,1
801F2AE90,38,5.17250297418921e-05,0.0,mule_laundering,0
801F29A10,38,5.17250297418921e-05,0.0,mule_laundering,0
8018B8200,39,0.0001551750892256763,4.603646708909867e-05,legit,1
801FF9240,39,5.17250297418921e-05,7.672744514849779e-06,legit,1
800737690,40,0.00046552526767702887,0.0006522910650980339,mule_laundering,1
80011F990,31,7.758754461283815e-05,5.2800105048908865e-05,mule_laundering,1
80020C5B0,41,0.0001034500594837842,2.885164478465915e-05,mule_laundering,1
80006A5E0,40,0.0001034500594837842,0.00019080105315110333,mule_laundering,1
8007A5B70,40,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
80093C0D0,40,0.00012931257435473025,5.633269144134686e-05,mule_laundering,1
80078E200,40,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
80066B990,40,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
8002CC310,40,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
8004030A0,40,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
800578800,40,7.758754461283815e-05,0.000500454278136078,mule_laundering,1
800AAF0B0,40,0.0001034500594837842,2.3018233544549336e-05,mule_laundering,1
8006FB970,40,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
800449990,40,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
800AEBA90,40,0.0001034500594837842,2.3018233544549336e-05,mule_laundering,1
800692550,40,7.758754461283815e-05,7.51418937014505e-05,mule_laundering,1
8007486D0,40,7.758754461283815e-05,0.00021430234061813015,mule_laundering,1
8028AE0B0,42,0.0001034500594837842,0.0007804099240893394,mule_laundering,1
802B7DA00,28,5.17250297418921e-05,7.672744514849779e-06,mule_laundering,1
8014D57D0,43,5.17250297418921e-05,1.72421225052804e-08,legit,0
80331B760,43,7.758754461283815e-05,5.17263675158412e-08,legit,0
8033A3E40,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
80011B370,103,0.0001551750892256763,0.00028628404119555417,mule_laundering,1
8040AFA00,103,5.17250297418921e-05,7.672744514849779e-06,legit,1
801690A70,45,7.758754461283815e-05,3.44842450105608e-08,legit,0
8048D14E0,45,7.758754461283815e-05,0.0,legit,0
804BA88E0,28,7.758754461283815e-05,0.00021430234061812996,legit,1
805A2CFA0,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
803CF4370,28,7.758754461283815e-05,4.603646708909867e-05,mule_laundering,1
8069561F0,28,7.758754461283815e-05,1.5345489029699558e-05,legit,1
806C9F410,28,0.0001034500594837842,2.3018233544549336e-05,mule_laundering,1
80724A820,46,7.758754461283815e-05,0.0,legit,0
802A9BBB0,46,5.17250297418921e-05,0.0,legit,0
807341220,28,0.0001034500594837842,3.2370730265467106e-05,mule_laundering,1
8079014B0,28,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
807AA9D00,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
80070AA30,1,0.00012931257435473025,0.002240460941020996,mule_laundering,1
807BEC490,1,7.758754461283815e-05,1.5345489029699558e-05,legit,1
80941AB90,28,0.0001034500594837842,0.00022195784301047445,legit,1
80B3A0080,28,7.758754461283815e-05,1.5345489029699558e-05,mule_laundering,1
80B5C6AB0,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
80BA95D00,28,7.758754461283815e-05,1.5345489029699558e-05,legit,1
80A8E02E0,47,0.0001034500594837842,0.0,legit,0
80B35DC70,47,5.17250297418921e-05,0.0,legit,0
80BB25320,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
80BCDB8B0,28,0.00012931257435473025,3.0690978059399115e-05,mule_laundering,1
80BD7F790,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
80C8DDF90,28,7.758754461283815e-05,0.00021430234061812996,legit,1
80D52FE60,28,0.0001034500594837842,2.3018233544549336e-05,legit,1
80D9B69A0,28,0.0001551750892256763,3.8363722574248894e-05,mule_laundering,1
80DE9AF20,28,7.758754461283815e-05,1.5345489029699558e-05,legit,1
80DF9D9D0,28,5.17250297418921e-05,7.672744514849779e-06,legit,1
